CPU-Score,CPU-Cache L1,CPU-Socket,CPU-Cache L3,CPU-Cache L2,CPU-Samples,CPU-Process,CPU-Brand,CPU-Cores,CPU-Type,CPU-URL,CPU-Clock,CPU-Part Number,CPU-Codename,CPU-Multi,CPU-Price,CPU-TDP,CPU-Released,CPU-Name,GPU-L2 Cache,GPU-Shader Processing Units,GPU-Process,GPU-Samples,GPU-Website,GPU-Brand,GPU-Direct X,GPU-Release Price,GPU-TMUs,GPU-PSU,GPU-ROPs,GPU-Max Power,GPU-Texture Rate,GPU-Memory,GPU-GD RATING,GPU-BenchmarkURL,GPU-Core Speed,GPU-Name,GPU-Pixel Rate,GPU-Memory Bandwidth,GPU-Shader,GPU-Name2,GPU-Power Connector,GPU-Type,GPU-Architecture,GPU-Benchmark,GPU-Memory Speed,GPU-Open GL,GPU-Memory Bus,GPU-Memory Type,GAME-Rec-DX,GAME-Website,GAME-Theme,GAME-Min-DX,GAME-Rec-Ram,GAME-Min-CPU0,GAME-Release Date2,GAME-Min-CPU1,GAME-Release Date0,GAME-Release Date1,GAME-Min-GPU1,GAME-Min-GPU0,GAME-Name,GAME-Min-VRam,GAME-Rec-CPU1,GAME-Min-OS,GAME-Rec-CPU0,GAME-Rec-GPU1,GAME-Min-Ram,GAME-Rec-GPU0,GAME-Type,GAME-Rec-OS,GAME-Rec-VRam,GAME-Genre1,GAME-Genre0,Res-Height,Res-Width,id,Game-Setting,target,Ram
46.4,64.0,0.003755400190129876,4096.0,256.0,5149.0,14.0,0.016381838591769338,4.0,0.02274285419844091,0.005190092837437987,3300.0,0.00411060475744307,0.010196440387517214,33.0,375.0,51.0,7548.0,0.007261085323989391,512.0,320.0,28.0,3421.0,0.009904831880703568,0.017439309041947126,12.0,0,20.0,0.004376970464363694,8.0,35.0,16.0,2048.0,3.0,0.00970067922025919,730.0,0.017024711007252336,6.0,25.6,5.0,0.005731284851208329,0.004212409257888794,0.012021146714687347,0.008571394020691514,4.65,800.0,4.4,128.0,0.017841810826212168,11.0,0.010138342622667551,0.0003111218102276325,11.0,8.0,0.014840067829936743,8080.0,0.019774946616962552,8080.0,8080.0,0.015412654262036085,0.006990829715505242,0.020863110898062587,2.0,0.008521625073626637,0.0003913643304258585,0.015589150600135326,0.0011258302256464958,4.0,0.016884589102119207,0.02220837981440127,0.0003913643304258585,2.0,0.009268858237192035,0.018759214784950018,1024.0,1280.0,0.01754827075637877,0.004176724469289184,40.0,8.0
42.9,288.0,0.017683135345578194,8192.0,6144.0,10491.0,32.0,0.006723866332322359,4.0,0.02274285419844091,0.0029413122683763504,3300.0,0.010176488664001226,0.012261176947504282,16.5,4000.0,95.0,6117.0,0.018034871201962233,1024.0,768.0,16.0,81473.0,0.0036692353896796703,0.014643455389887094,12.1,0,48.0,0.00841608876362443,32.0,75.0,67.0,4096.0,9.0,0.0025037184823304415,1290.0,0.013589808018878102,45.0,112.1,5.0,0.01771442755125463,0.004212409257888794,0.012021146714687347,0.010596216656267643,39.1,1752.0,4.5,128.0,0.010327997850254178,11.0,0.010138342622667551,0.0003111218102276325,11.0,8.0,0.014840067829936743,8080.0,0.019774946616962552,8080.0,8080.0,0.015412654262036085,0.006990829715505242,0.020863110898062587,2.0,0.008521625073626637,0.0003913643304258585,0.015589150600135326,0.0011258302256464958,4.0,0.016884589102119207,0.02220837981440127,0.0003913643304258585,2.0,0.009268858237192035,0.018759214784950018,1024.0,1280.0,0.012120413826778531,0.0025435921270400286,80.0,8.0
64.8,64.0,0.009332101559266448,6144.0,256.0,14263.0,22.0,0.016381838591769338,4.0,0.02274285419844091,0.02101654140278697,3100.0,0.016855280613526702,0.009475076105445623,31.0,1200.0,84.0,6818.0,0.01848330581560731,2048.0,1280.0,16.0,175090.0,0.003946915501728654,0.014189193490892649,12.1,318.0,80.0,0.02064187405630946,48.0,120.0,137.0,6144.0,0.0,0.01818784372881055,1506.0,0.008648635121062398,82.0,192.2,5.0,0.002475776942446828,0.012395763536915183,0.012021146714687347,0.01390674035064876,72.0,2002.0,4.5,192.0,0.010327997850254178,11.0,0.010138342622667551,0.0003111218102276325,11.0,8.0,0.014840067829936743,8080.0,0.019774946616962552,8080.0,8080.0,0.015412654262036085,0.006990829715505242,0.020863110898062587,2.0,0.008521625073626637,0.0003913643304258585,0.015589150600135326,0.0011258302256464958,4.0,0.016884589102119207,0.02220837981440127,0.0003913643304258585,2.0,0.009268858237192035,0.018759214784950018,1080.0,1920.0,0.020195718156173825,0.006889725802466273,60.0,8.0
56.5,384.0,0.017683135345578194,8192.0,8192.0,78150.0,32.0,0.006723866332322359,4.0,0.02274285419844091,0.00478062080219388,4000.0,0.0015096075367182493,0.011764378286898136,20.0,1098.0,125.0,6483.0,0.008521625073626637,1024.0,768.0,16.0,81473.0,0.007327627157792449,0.0029610099736601114,12.1,0,48.0,0.00841608876362443,32.0,75.0,67.0,4096.0,9.0,0.0025037184823304415,1290.0,0.004598784260451794,45.0,112.1,5.0,0.00922957994043827,0.004212409257888794,0.012021146714687347,0.010596216656267643,39.1,1752.0,4.5,128.0,0.010327997850254178,11.0,0.010138342622667551,0.0003111218102276325,11.0,8.0,0.014840067829936743,8080.0,0.019774946616962552,8080.0,8080.0,0.015412654262036085,0.006990829715505242,0.020863110898062587,2.0,0.008521625073626637,0.0003913643304258585,0.015589150600135326,0.0011258302256464958,4.0,0.016884589102119207,0.02220837981440127,0.0003913643304258585,2.0,0.009268858237192035,0.018759214784950018,1080.0,1920.0,0.018153439974412322,0.006889725802466273,50.0,8.0
42.2,128.0,0.017240561544895172,6144.0,512.0,5196.0,45.0,0.006723866332322359,4.0,0.02274285419844091,0.0018848106265068054,2800.0,0.003069155616685748,0.019276850624009967,14.0,1225.0,95.0,5599.0,0.007024015765637159,768.0,512.0,40.0,14487.0,0.0062960481736809015,0.005288424668833613,12.0,0,64.0,0.0038404318038374186,48.0,0,51.0,1536.0,7.0,0.007543715415522456,795.0,0.02031882992014289,38.0,192.4,5.0,0.01947267376817763,0.004212409257888794,0.012021146714687347,0.01621430367231369,69.1,1002.0,4.5,384.0,0.010327997850254178,11.1,0.014481883263215423,0.01273333583958447,11.0,16.0,0.009212072240188718,7627.0,0.0034042177721858025,7628.0,7625.0,0.02030724356882274,0.006990829715505242,0.020690405974164605,2.0,0.0008624871261417866,0.0003913643304258585,0.005382471485063434,0.0032093848567456007,8.0,0.01736787031404674,0.02220837981440127,0.005012237699702382,4.0,0,0.01116979937069118,720.0,1280.0,0.012519689975306392,0.006889725802466273,85.0,8.0
73.9,64.0,0.02090922207571566,8192.0,256.0,32915.0,22.0,0.016381838591769338,4.0,0.02274285419844091,0.009095043176785111,3500.0,0.005279175937175751,0.005417803302407265,35.0,2898.0,77.0,6300.0,0.0029765667859464884,1024.0,896.0,14.0,16523.0,0.005147062707692385,0.015406626742333174,12.0,150.0,64.0,0.0021022791042923927,16.0,150.0,80.0,4096.0,8.0,0.006235927576199174,1090.0,0.0066122813150286674,20.0,112.0,5.0,0.016196335898712277,0.012395763536915183,0.012021146714687347,0.0011365893296897411,28.3,1750.0,4.5,128.0,0.010327997850254178,11.1,0.014481883263215423,0.01273333583958447,11.0,16.0,0.009212072240188718,7627.0,0.0034042177721858025,7628.0,7625.0,0.02030724356882274,0.006990829715505242,0.020690405974164605,2.0,0.0008624871261417866,0.0003913643304258585,0.005382471485063434,0.0032093848567456007,8.0,0.01736787031404674,0.02220837981440127,0.005012237699702382,4.0,0,0.01116979937069118,1080.0,1920.0,0.014439026126638055,0.0002380844671279192,84.0,16.0
88.0,64.0,0.009332101559266448,8192.0,256.0,105652.0,22.0,0.016381838591769338,4.0,0.02274285419844091,0.01586443930864334,4000.0,0.018569822190329432,0.009475076105445623,40.0,2799.0,88.0,7060.0,0.007722023408859968,1792.0,1664.0,28.0,215474.0,0.008339616702869534,0.0029610099736601114,12.1,0,104.0,0.021905803587287664,56.0,225.0,130.0,4096.0,0.0,0.017849985044449568,1114.0,0.01871489966288209,70.0,224.4,5.0,0.01208749576471746,0.011577681871131063,0.012021146714687347,0.0031055519357323647,64.6,1753.0,4.5,256.0,0.010327997850254178,11.1,0.014481883263215423,0.01273333583958447,11.0,16.0,0.009212072240188718,7627.0,0.0034042177721858025,7628.0,7625.0,0.02030724356882274,0.006990829715505242,0.020690405974164605,2.0,0.0008624871261417866,0.0003913643304258585,0.005382471485063434,0.0032093848567456007,8.0,0.01736787031404674,0.02220837981440127,0.005012237699702382,4.0,0,0.01116979937069118,1080.0,1920.0,0.021827021846547723,0.006889725802466273,117.0,16.0
58.1,64.0,0.02090922207571566,6144.0,256.0,7994.0,22.0,0.016381838591769338,2.0,0.02274285419844091,0.021914879325777292,3000.0,0,0.005417803302407265,30.0,1590.0,77.0,6453.0,0.013613919261842966,1024.0,1024.0,28.0,103842.0,0.008088642731308937,0.005288424668833613,12.1,0,64.0,0.0037667029537260532,32.0,120.0,83.0,4096.0,9.0,0.010721289552748203,1241.0,0.018977761967107654,42.0,112.2,5.0,0.017706472193822265,0.012395763536915183,0.012021146714687347,0.015279102604836226,39.7,1753.0,4.5,128.0,0.010327997850254178,11.1,0.014481883263215423,0.01273333583958447,11.0,16.0,0.009212072240188718,7627.0,0.0034042177721858025,7628.0,7625.0,0.02030724356882274,0.006990829715505242,0.020690405974164605,2.0,0.0008624871261417866,0.0003913643304258585,0.005382471485063434,0.0032093848567456007,8.0,0.01736787031404674,0.02220837981440127,0.005012237699702382,4.0,0,0.01116979937069118,768.0,1366.0,0.004184471443295479,0.006889725802466273,30.0,8.0
52.0,384.0,0.017683135345578194,8192.0,8192.0,33216.0,32.0,0.006723866332322359,4.0,0.02274285419844091,0.02250524004921317,3200.0,0.013936357805505395,0.011764378286898136,16.0,980.0,95.0,7183.0,0.014866540441289544,512.0,1344.0,28.0,1101.0,0.015003593871369958,0.017439309041947126,12.0,0,112.0,0.021905803587287664,32.0,170.0,117.0,2048.0,8.0,0.021918747341260314,965.0,0.015775382751598954,33.0,192.3,5.0,0.022294044494628906,0.004212409257888794,0.012021146714687347,0.014321498572826385,13.3,1502.0,4.5,256.0,0.010327997850254178,11.1,0.014481883263215423,0.01273333583958447,11.0,16.0,0.009212072240188718,7627.0,0.0034042177721858025,7628.0,7625.0,0.02030724356882274,0.006990829715505242,0.020690405974164605,2.0,0.0008624871261417866,0.0003913643304258585,0.005382471485063434,0.0032093848567456007,8.0,0.01736787031404674,0.02220837981440127,0.005012237699702382,4.0,0,0.01116979937069118,1080.0,1920.0,0.0029834171291440725,0.006889725802466273,60.0,8.0
88.0,64.0,0.009332101559266448,8192.0,256.0,105652.0,22.0,0.016381838591769338,4.0,0.02274285419844091,0.01586443930864334,4000.0,0.018569822190329432,0.009475076105445623,40.0,2799.0,88.0,7060.0,0.007722023408859968,512.0,1280.0,28.0,31036.0,0.011744695482775569,0.014643455389887094,12.0,0,80.0,0.016254210146144032,32.0,180.0,90.0,2048.0,8.0,0.005692418199032545,1030.0,0.015973979607224464,36.0,179.2,5.0,0.013945851009339094,0.004212409257888794,0.012021146714687347,0.012323267757892609,36.3,1400.0,4.4,256.0,0.010327997850254178,11.1,0.014481883263215423,0.01273333583958447,11.0,16.0,0.009212072240188718,7627.0,0.0034042177721858025,7628.0,7625.0,0.02030724356882274,0.006990829715505242,0.020690405974164605,2.0,0.0008624871261417866,0.0003913643304258585,0.005382471485063434,0.0032093848567456007,8.0,0.01736787031404674,0.02220837981440127,0.005012237699702382,4.0,0,0.01116979937069118,1080.0,1920.0,0.019514337414875627,0.006889725802466273,53.0,16.0
