CPU-Score,CPU-Cache L1,CPU-Socket,CPU-Cache L3,CPU-Cache L2,CPU-Samples,CPU-Process,CPU-Brand,CPU-Cores,CPU-Type,CPU-URL,CPU-Clock,CPU-Part Number,CPU-Codename,CPU-Multi,CPU-Price,CPU-TDP,CPU-Released,CPU-Name,GPU-L2 Cache,GPU-Shader Processing Units,GPU-Process,GPU-Samples,GPU-Website,GPU-Brand,GPU-Direct X,GPU-Release Price,GPU-TMUs,GPU-PSU,GPU-ROPs,GPU-Max Power,GPU-Texture Rate,GPU-Memory,GPU-GD RATING,GPU-BenchmarkURL,GPU-Core Speed,GPU-Name,GPU-Pixel Rate,GPU-Memory Bandwidth,GPU-Shader,GPU-Name2,GPU-Power Connector,GPU-Type,GPU-Architecture,GPU-Benchmark,GPU-Memory Speed,GPU-Open GL,GPU-Memory Bus,GPU-Memory Type,GAME-Rec-DX,GAME-Website,GAME-Theme,GAME-Min-DX,GAME-Rec-Ram,GAME-Min-CPU0,GAME-Release Date2,GAME-Min-CPU1,GAME-Release Date0,GAME-Release Date1,GAME-Min-GPU1,GAME-Min-GPU0,GAME-Name,GAME-Min-VRam,GAME-Rec-CPU1,GAME-Min-OS,GAME-Rec-CPU0,GAME-Rec-GPU1,GAME-Min-Ram,GAME-Rec-GPU0,GAME-Type,GAME-Rec-OS,GAME-Rec-VRam,GAME-Genre1,GAME-Genre0,Res-Height,Res-Width,FPS_Id,Game-Setting,FPS,Ram
46.4,64.0,-419126847.10706395,4096.0,256.0,5149.0,14.0,68038666.12576191,4.0,807601923.4021002,830546129.7145613,3300.0,3315280.5086297328,1516467333.8936107,33.0,375.0,51.0,7548.0,1195248329.681475,512.0,320.0,28.0,3421.0,1798296817.0187883,-794947971.620768,12.0,0,20.0,1832460946.335493,8.0,35.0,16.0,2048.0,3.0,1827350740.2231023,730.0,-175313606.07749838,6.0,25.6,5.0,-524540721.4743183,-1652581640.1989787,704020490.0749322,-1066787311.3043026,4.65,800.0,4.4,128.0,-1525114242.916554,11.0,-1527831646.0951617,-1519145352.1645856,11.0,8.0,783497911.4172133,8080.0,2914412.8167179516,8080.0,8080.0,467179095.9798299,1075377260.7212994,-75750476.00285499,2.0,-2020825833.7019036,570474167.2059044,1967581418.5537417,-1461601442.8550272,4.0,1883990892.4644623,-1541251655.262258,570474167.2059044,2.0,-229850997.94480586,-438507314.1765925,1024.0,1280.0,1157882686.8747206,871391441.6760302,40.0,8.0
42.9,288.0,-1407763671.2591033,8192.0,6144.0,10491.0,32.0,804384362.4291483,4.0,807601923.4021002,-1310215992.9765458,3300.0,-1680977602.0128593,-1589085387.357941,16.5,4000.0,95.0,6117.0,-686508519.3793969,1024.0,768.0,16.0,81473.0,290301116.9898618,-1061140449.2623192,12.1,0,48.0,522024727.2670453,32.0,75.0,67.0,4096.0,9.0,741771599.3662738,1290.0,-1597049922.1928427,45.0,112.1,5.0,1316345909.5422516,-1652581640.1989787,704020490.0749322,105297414.1506024,39.1,1752.0,4.5,128.0,-640828053.9309579,11.0,-1527831646.0951617,-1519145352.1645856,11.0,8.0,783497911.4172133,8080.0,2914412.8167179516,8080.0,8080.0,467179095.9798299,1075377260.7212994,-75750476.00285499,2.0,-2020825833.7019036,570474167.2059044,1967581418.5537417,-1461601442.8550272,4.0,1883990892.4644623,-1541251655.262258,570474167.2059044,2.0,-229850997.94480586,-438507314.1765925,1024.0,1280.0,519821689.83007115,-813449634.5165001,80.0,8.0
64.8,64.0,-475109013.0229148,6144.0,256.0,14263.0,22.0,68038666.12576191,4.0,807601923.4021002,-1393741888.002851,3100.0,-128478857.38644929,-133785114.44441605,31.0,1200.0,84.0,6818.0,561428453.1026217,2048.0,1280.0,16.0,175090.0,1954231727.1460326,-1479327373.5009768,12.1,318.0,80.0,1172716902.680515,48.0,120.0,137.0,6144.0,0.0,-431175016.1214557,1506.0,-814362292.2982775,82.0,192.2,5.0,-174257572.6796251,1662744790.0136359,704020490.0749322,-129215007.23231314,72.0,2002.0,4.5,192.0,-640828053.9309579,11.0,-1527831646.0951617,-1519145352.1645856,11.0,8.0,783497911.4172133,8080.0,2914412.8167179516,8080.0,8080.0,467179095.9798299,1075377260.7212994,-75750476.00285499,2.0,-2020825833.7019036,570474167.2059044,1967581418.5537417,-1461601442.8550272,4.0,1883990892.4644623,-1541251655.262258,570474167.2059044,2.0,-229850997.94480586,-438507314.1765925,1080.0,1920.0,956430170.6693788,1093610734.877145,60.0,8.0
56.5,384.0,-1407763671.2591033,8192.0,8192.0,78150.0,32.0,804384362.4291483,4.0,807601923.4021002,-221710620.70350957,4000.0,-639075569.6561916,-803798693.9824897,20.0,1098.0,125.0,6483.0,-2020825833.7019036,1024.0,768.0,16.0,81473.0,-1174360628.7525632,1130862812.6536174,12.1,0,48.0,522024727.2670453,32.0,75.0,67.0,4096.0,9.0,741771599.3662738,1290.0,-2015145913.7459583,45.0,112.1,5.0,-1021983537.7014939,-1652581640.1989787,704020490.0749322,105297414.1506024,39.1,1752.0,4.5,128.0,-640828053.9309579,11.0,-1527831646.0951617,-1519145352.1645856,11.0,8.0,783497911.4172133,8080.0,2914412.8167179516,8080.0,8080.0,467179095.9798299,1075377260.7212994,-75750476.00285499,2.0,-2020825833.7019036,570474167.2059044,1967581418.5537417,-1461601442.8550272,4.0,1883990892.4644623,-1541251655.262258,570474167.2059044,2.0,-229850997.94480586,-438507314.1765925,1080.0,1920.0,1362873754.2883208,1093610734.877145,50.0,8.0
42.2,128.0,1011105103.0964819,6144.0,512.0,5196.0,45.0,804384362.4291483,4.0,807601923.4021002,383793145.3593077,2800.0,1935207118.8699985,1329549698.4958425,14.0,1225.0,95.0,5599.0,1777623599.694095,768.0,512.0,40.0,14487.0,-1815054356.342062,-728134793.2922796,12.0,0,64.0,-1666397738.5733945,48.0,0,51.0,1536.0,7.0,-1387003571.0006309,795.0,1051656422.7675246,38.0,192.4,5.0,-1891027749.378437,-1652581640.1989787,704020490.0749322,442299119.8855344,69.1,1002.0,4.5,384.0,-640828053.9309579,11.1,-889841167.0375389,1954949010.0694196,11.0,16.0,23022008.34868858,7627.0,-431237564.9842766,7628.0,7625.0,595901903.2381371,1075377260.7212994,1878430743.2476993,2.0,525359032.6017931,570474167.2059044,1107676121.8243895,693708025.4468659,8.0,-887436359.4138743,-1541251655.262258,1552703304.6260846,4.0,0,-165955737.91851908,720.0,1280.0,-1126475796.3696322,1093610734.877145,85.0,8.0
73.9,64.0,-70341362.18017931,8192.0,256.0,32915.0,22.0,68038666.12576191,4.0,807601923.4021002,-1166701250.1183572,3500.0,-597771980.7832656,1715906623.667811,35.0,2898.0,77.0,6300.0,1076918185.0170522,1024.0,896.0,14.0,16523.0,-1813191802.026385,24462627.646069746,12.0,150.0,64.0,1554179179.1931772,16.0,150.0,80.0,4096.0,8.0,1442757776.8880744,1090.0,-15932123.562581506,20.0,112.0,5.0,93224609.05521192,1662744790.0136359,704020490.0749322,930743674.0064386,28.3,1750.0,4.5,128.0,-640828053.9309579,11.1,-889841167.0375389,1954949010.0694196,11.0,16.0,23022008.34868858,7627.0,-431237564.9842766,7628.0,7625.0,595901903.2381371,1075377260.7212994,1878430743.2476993,2.0,525359032.6017931,570474167.2059044,1107676121.8243895,693708025.4468659,8.0,-887436359.4138743,-1541251655.262258,1552703304.6260846,4.0,0,-165955737.91851908,1080.0,1920.0,662015527.9152434,-185457956.97178566,84.0,16.0
88.0,64.0,-475109013.0229148,8192.0,256.0,105652.0,22.0,68038666.12576191,4.0,807601923.4021002,-1917677716.144767,4000.0,-654809915.2518758,-133785114.44441605,40.0,2799.0,88.0,7060.0,525579037.31211996,1792.0,1664.0,28.0,215474.0,81707940.51912552,1130862812.6536174,12.1,0,104.0,-1206365573.5067365,56.0,225.0,130.0,4096.0,0.0,804018605.6899856,1114.0,2095806516.5693603,70.0,224.4,5.0,-1061261892.9582082,1917181023.392801,704020490.0749322,1549358366.845069,64.6,1753.0,4.5,256.0,-640828053.9309579,11.1,-889841167.0375389,1954949010.0694196,11.0,16.0,23022008.34868858,7627.0,-431237564.9842766,7628.0,7625.0,595901903.2381371,1075377260.7212994,1878430743.2476993,2.0,525359032.6017931,570474167.2059044,1107676121.8243895,693708025.4468659,8.0,-887436359.4138743,-1541251655.262258,1552703304.6260846,4.0,0,-165955737.91851908,1080.0,1920.0,320228308.7081833,1093610734.877145,117.0,16.0
58.1,64.0,-70341362.18017931,6144.0,256.0,7994.0,22.0,68038666.12576191,2.0,807601923.4021002,-1398554523.4089754,3000.0,0,1715906623.667811,30.0,1590.0,77.0,6453.0,507958395.2331705,1024.0,1024.0,28.0,103842.0,2084510210.2116306,-728134793.2922796,12.1,0,64.0,884380776.6221472,32.0,120.0,83.0,4096.0,9.0,1732627291.5404108,1241.0,-407443646.20853704,42.0,112.2,5.0,-1917663554.6798263,1662744790.0136359,704020490.0749322,-1284563129.295278,39.7,1753.0,4.5,128.0,-640828053.9309579,11.1,-889841167.0375389,1954949010.0694196,11.0,16.0,23022008.34868858,7627.0,-431237564.9842766,7628.0,7625.0,595901903.2381371,1075377260.7212994,1878430743.2476993,2.0,525359032.6017931,570474167.2059044,1107676121.8243895,693708025.4468659,8.0,-887436359.4138743,-1541251655.262258,1552703304.6260846,4.0,0,-165955737.91851908,768.0,1366.0,1467679504.4244955,1093610734.877145,30.0,8.0
52.0,384.0,-1407763671.2591033,8192.0,8192.0,33216.0,32.0,804384362.4291483,4.0,807601923.4021002,897020609.5283941,3200.0,1223738603.119293,-803798693.9824897,16.0,980.0,95.0,7183.0,-1920101708.7998712,512.0,1344.0,28.0,1101.0,-1793841357.371143,-794947971.620768,12.0,0,112.0,-1206365573.5067365,32.0,170.0,117.0,2048.0,8.0,-798454147.094976,965.0,-1704862991.7749896,33.0,192.3,5.0,2098221676.245362,-1652581640.1989787,704020490.0749322,962836262.4329883,13.3,1502.0,4.5,256.0,-640828053.9309579,11.1,-889841167.0375389,1954949010.0694196,11.0,16.0,23022008.34868858,7627.0,-431237564.9842766,7628.0,7625.0,595901903.2381371,1075377260.7212994,1878430743.2476993,2.0,525359032.6017931,570474167.2059044,1107676121.8243895,693708025.4468659,8.0,-887436359.4138743,-1541251655.262258,1552703304.6260846,4.0,0,-165955737.91851908,1080.0,1920.0,621237123.8031919,1093610734.877145,60.0,8.0
88.0,64.0,-475109013.0229148,8192.0,256.0,105652.0,22.0,68038666.12576191,4.0,807601923.4021002,-1917677716.144767,4000.0,-654809915.2518758,-133785114.44441605,40.0,2799.0,88.0,7060.0,525579037.31211996,512.0,1280.0,28.0,31036.0,1503176029.7285576,-1061140449.2623192,12.0,0,80.0,338358396.3503433,32.0,180.0,90.0,2048.0,8.0,-1042906272.02017,1030.0,1159207823.8736157,36.0,179.2,5.0,-437943835.3978414,-1652581640.1989787,704020490.0749322,-291327924.5241954,36.3,1400.0,4.4,256.0,-640828053.9309579,11.1,-889841167.0375389,1954949010.0694196,11.0,16.0,23022008.34868858,7627.0,-431237564.9842766,7628.0,7625.0,595901903.2381371,1075377260.7212994,1878430743.2476993,2.0,525359032.6017931,570474167.2059044,1107676121.8243895,693708025.4468659,8.0,-887436359.4138743,-1541251655.262258,1552703304.6260846,4.0,0,-165955737.91851908,1080.0,1920.0,-124537478.37571608,1093610734.877145,53.0,16.0
