CPU-Score,CPU-Cache L1,CPU-Socket,CPU-Cache L3,CPU-Cache L2,CPU-Samples,CPU-Process,CPU-Brand,CPU-Cores,CPU-Type,CPU-URL,CPU-Clock,CPU-Part Number,CPU-Codename,CPU-Multi,CPU-Price,CPU-TDP,CPU-Released,CPU-Name,GPU-L2 Cache,GPU-Shader Processing Units,GPU-Process,GPU-Samples,GPU-Website,GPU-Brand,GPU-Direct X,GPU-Release Price,GPU-TMUs,GPU-PSU,GPU-ROPs,GPU-Max Power,GPU-Texture Rate,GPU-Memory,GPU-GD RATING,GPU-BenchmarkURL,GPU-Core Speed,GPU-Name,GPU-Pixel Rate,GPU-Memory Bandwidth,GPU-Shader,GPU-Name2,GPU-Power Connector,GPU-Type,GPU-Architecture,GPU-Benchmark,GPU-Memory Speed,GPU-Open GL,GPU-Memory Bus,GPU-Memory Type,GAME-Rec-DX,GAME-Website,GAME-Theme,GAME-Min-DX,GAME-Rec-Ram,GAME-Min-CPU0,GAME-Release Date2,GAME-Min-CPU1,GAME-Release Date0,GAME-Release Date1,GAME-Min-GPU1,GAME-Min-GPU0,GAME-Name,GAME-Min-VRam,GAME-Rec-CPU1,GAME-Min-OS,GAME-Rec-CPU0,GAME-Rec-GPU1,GAME-Min-Ram,GAME-Rec-GPU0,GAME-Type,GAME-Rec-OS,GAME-Rec-VRam,GAME-Genre1,GAME-Genre0,Res-Height,Res-Width,id,Game-Setting,target,Ram
72.8,64.0,-419126847.10706395,6144.0,256.0,41906.0,14.0,68038666.12576191,4.0,807601923.4021002,-187496430.60978755,3200.0,1196958428.0012615,1516467333.8936107,32.0,7369.0,65.0,7486.0,1647476353.6436422,2048.0,1280.0,16.0,62142.0,-666597309.5559043,-794947971.620768,12.1,249.0,80.0,1172716902.680515,48.0,120.0,137.0,6144.0,0.0,1000491887.933063,1506.0,-355828960.92683065,82.0,192.2,5.0,-2107317384.4936767,1662744790.0136359,704020490.0749322,-129215007.23231314,66.4,2002.0,4.5,192.0,-640828053.9309579,11.0,1651409781.9328263,-773435016.301609,10.0,8.0,-1107723530.2990503,8090.0,578926920.2216018,8090.0,8090.0,35765433.26993892,937801931.1128551,-801127409.8582119,512.0,369898294.2434584,1778665095.7803051,-1795051718.2533164,-1603334462.1330998,4.0,846105119.4871504,-1541251655.262258,1552703304.6260846,1.0,1724874849.8826423,-229850997.94480586,1080.0,1920.0,-1256414861.297823,1093610734.877145,200.0,16.0
47.7,288.0,-1407763671.2591033,8192.0,6144.0,57468.0,32.0,804384362.4291483,2.0,807601923.4021002,-1887534683.7860374,3500.0,-702921498.1850656,-803798693.9824897,17.5,720.0,95.0,6483.0,-814550912.4920672,512.0,384.0,28.0,2908.0,-1863937676.342595,804384362.4291483,12.0,0,24.0,-1843904178.4999285,8.0,59.0,26.0,1024.0,5.0,1323552928.1760771,1000.0,-1977332932.696489,9.0,73.6,5.0,-1701441702.6671405,-1652581640.1989787,704020490.0749322,1329400446.6555536,11.8,1150.0,4.4,128.0,-640828053.9309579,9.0,2000662485.219322,1954949010.0694196,9.0,2.0,281888488.0638974,7544.0,1146577579.821095,7544.0,7544.0,-484836537.3350246,-1009558941.043383,-99088692.22947836,128.0,1942920576.5974572,-1629285556.95864,303463851.9750293,587914002.8628459,1.0,-535404082.4240627,-1541251655.262258,-1629285556.95864,256.0,0,-438507314.1765925,768.0,1366.0,457144906.7050618,1093610734.877145,60.0,8.0
75.6,96.0,1093959414.720917,8192.0,512.0,1381.0,14.0,804384362.4291483,4.0,807601923.4021002,-413962299.1287115,3400.0,1360008252.3438966,1591867034.3759086,34.0,990.0,65.0,8187.0,-236008467.54982376,0.0,1152.0,16.0,62142.0,-573360589.5066748,-728134793.2922796,12.1,243.44,72.0,1172716902.680515,48.0,120.0,128.0,3072.0,0.0,1000491887.933063,1556.0,-2000703101.3287013,85.0,192.2,5.0,1482056339.0529788,1662744790.0136359,704020490.0749322,267512383.75232965,66.4,2002.0,4.5,192.0,-640828053.9309579,11.0,-1527831646.0951617,-1519145352.1645856,11.0,8.0,783497911.4172133,8080.0,2914412.8167179516,8080.0,8080.0,467179095.9798299,1075377260.7212994,-75750476.00285499,2.0,-2020825833.7019036,570474167.2059044,1967581418.5537417,-1461601442.8550272,4.0,1883990892.4644623,-1541251655.262258,570474167.2059044,2.0,-229850997.94480586,-438507314.1765925,1080.0,1920.0,-2060164201.8975623,1093610734.877145,75.0,8.0
33.4,128.0,1011105103.0964819,0.0,512.0,1026.0,45.0,804384362.4291483,2.0,807601923.4021002,-497034222.7614943,3200.0,0,-1702978117.2023768,16.0,545.0,95.0,5722.0,244445217.77175713,512.0,640.0,28.0,13886.0,1291708919.3654988,804384362.4291483,12.0,0,40.0,338358396.3503433,16.0,150.0,41.0,2048.0,5.0,-550783854.942201,1020.0,-979052658.6922541,16.0,73.6,5.0,865931400.4931573,-1652581640.1989787,704020490.0749322,-1765693978.7842157,17.3,1150.0,4.4,128.0,-640828053.9309579,11.0,-1527831646.0951617,-1519145352.1645856,11.0,8.0,783497911.4172133,8080.0,2914412.8167179516,8080.0,8080.0,467179095.9798299,1075377260.7212994,-75750476.00285499,2.0,-2020825833.7019036,570474167.2059044,1967581418.5537417,-1461601442.8550272,4.0,1883990892.4644623,-1541251655.262258,570474167.2059044,2.0,-229850997.94480586,-438507314.1765925,1050.0,1680.0,-1143064263.7798197,871391441.6760302,30.0,4.0
89.2,64.0,-419126847.10706395,6144.0,256.0,89081.0,14.0,68038666.12576191,6.0,807601923.4021002,559208842.7209331,3500.0,63299853.72662538,1516467333.8936107,35.0,1745.0,95.0,7486.0,1339240416.7626514,2048.0,2560.0,16.0,69892.0,-1409241408.4583297,-1061140449.2623192,12.1,829.0,160.0,4306648.138068121,64.0,300.0,310.0,8192.0,0.0,1792682695.205915,1784.0,447072028.94111973,124.0,320.3,5.0,1813195215.4367197,-796422407.7372969,704020490.0749322,1369520292.9666576,156.0,1251.0,4.5,256.0,1498877869.3642046,11.0,-1527831646.0951617,-1519145352.1645856,11.0,8.0,783497911.4172133,8080.0,2914412.8167179516,8080.0,8080.0,467179095.9798299,1075377260.7212994,-75750476.00285499,2.0,-2020825833.7019036,570474167.2059044,1967581418.5537417,-1461601442.8550272,4.0,1883990892.4644623,-1541251655.262258,570474167.2059044,2.0,-229850997.94480586,-438507314.1765925,1200.0,1920.0,312486546.6325005,1093610734.877145,75.0,16.0
56.5,384.0,-1407763671.2591033,8192.0,8192.0,78150.0,32.0,804384362.4291483,4.0,807601923.4021002,-221710620.70350957,4000.0,-639075569.6561916,-803798693.9824897,20.0,1098.0,125.0,6483.0,-2020825833.7019036,1024.0,6144.0,28.0,2076.0,1743181701.8707495,-794947971.620768,12.0,0,256.0,-1968149385.5249777,64.0,600.0,522.0,8192.0,0.0,-1291456983.4251986,915.0,-2065688140.7393498,130.0,769.0,5.0,1495971035.5182745,-1652581640.1989787,704020490.0749322,-831621649.2997103,46.0,1502.0,4.5,512.0,-640828053.9309579,11.0,-1527831646.0951617,-1519145352.1645856,11.0,8.0,783497911.4172133,8080.0,2914412.8167179516,8080.0,8080.0,467179095.9798299,1075377260.7212994,-75750476.00285499,2.0,-2020825833.7019036,570474167.2059044,1967581418.5537417,-1461601442.8550272,4.0,1883990892.4644623,-1541251655.262258,570474167.2059044,2.0,-229850997.94480586,-438507314.1765925,1080.0,1920.0,-1705392394.1578074,1093610734.877145,60.0,16.0
68.3,64.0,-419126847.10706395,6144.0,256.0,26623.0,14.0,68038666.12576191,4.0,807601923.4021002,-649870791.1843505,2700.0,-2019378802.1091275,1516467333.8936107,27.0,2699.0,65.0,7486.0,999535638.0666629,2048.0,1280.0,16.0,62142.0,-666597309.5559043,-794947971.620768,12.1,249.0,80.0,1172716902.680515,48.0,120.0,137.0,6144.0,0.0,1000491887.933063,1506.0,-355828960.92683065,82.0,192.2,5.0,-2107317384.4936767,1662744790.0136359,704020490.0749322,-129215007.23231314,66.4,2002.0,4.5,192.0,-640828053.9309579,11.0,-1527831646.0951617,-1519145352.1645856,11.0,8.0,783497911.4172133,8080.0,2914412.8167179516,8080.0,8080.0,467179095.9798299,1075377260.7212994,-75750476.00285499,2.0,-2020825833.7019036,570474167.2059044,1967581418.5537417,-1461601442.8550272,4.0,1883990892.4644623,-1541251655.262258,570474167.2059044,2.0,-229850997.94480586,-438507314.1765925,900.0,1600.0,368616303.296605,1093610734.877145,80.0,16.0
83.5,96.0,1093959414.720917,16384.0,512.0,22589.0,14.0,804384362.4291483,8.0,807601923.4021002,229641073.34240058,3400.0,1872101871.713371,1591867034.3759086,34.0,2280.0,95.0,8187.0,-1694955041.9154353,2048.0,1280.0,16.0,175090.0,1954231727.1460326,-1479327373.5009768,12.1,318.0,80.0,1172716902.680515,48.0,120.0,137.0,6144.0,0.0,-431175016.1214557,1506.0,-814362292.2982775,82.0,192.2,5.0,-174257572.6796251,1662744790.0136359,704020490.0749322,-129215007.23231314,72.0,2002.0,4.5,192.0,-640828053.9309579,11.0,-1527831646.0951617,-1519145352.1645856,11.0,8.0,783497911.4172133,8080.0,2914412.8167179516,8080.0,8080.0,467179095.9798299,1075377260.7212994,-75750476.00285499,2.0,-2020825833.7019036,570474167.2059044,1967581418.5537417,-1461601442.8550272,4.0,1883990892.4644623,-1541251655.262258,570474167.2059044,2.0,-229850997.94480586,-438507314.1765925,1080.0,2560.0,1948874838.2139592,-813449634.5165001,60.0,16.0
47.3,128.0,1011105103.0964819,6144.0,512.0,7911.0,45.0,804384362.4291483,2.0,807601923.4021002,-511385759.20619154,3200.0,0,1329549698.4958425,16.0,1325.0,125.0,5569.0,-565137859.0354316,640.0,480.0,40.0,9009.0,1564287992.024163,-794947971.620768,12.0,349.0,60.0,236931015.77852693,40.0,219.0,44.0,1280.0,7.0,190992637.29774982,732.0,688528328.6092693,29.0,152.0,5.0,447731544.92844796,-1652581640.1989787,704020490.0749322,-1283895087.202429,26.1,950.0,4.5,320.0,-640828053.9309579,11.0,-1527831646.0951617,-1519145352.1645856,11.0,8.0,783497911.4172133,8080.0,2914412.8167179516,8080.0,8080.0,467179095.9798299,1075377260.7212994,-75750476.00285499,2.0,-2020825833.7019036,570474167.2059044,1967581418.5537417,-1461601442.8550272,4.0,1883990892.4644623,-1541251655.262258,570474167.2059044,2.0,-229850997.94480586,-438507314.1765925,768.0,1366.0,414598321.13454545,871391441.6760302,35.0,8.0
91.7,64.0,-419126847.10706395,8192.0,256.0,154149.0,14.0,68038666.12576191,4.0,807601923.4021002,71454823.35620882,4000.0,-1078336686.4266176,1516467333.8936107,40.0,2430.0,95.0,7517.0,1144325213.4301357,2048.0,1920.0,16.0,199237.0,19176824.53623514,-794947971.620768,12.1,450.0,120.0,4306648.138068121,64.0,150.0,216.0,8192.0,0.0,1898486907.5511477,1607.0,-875304162.2665014,115.0,259.5,5.0,541723445.9384645,-796422407.7372969,704020490.0749322,-395457005.1689541,98.4,2027.0,4.5,256.0,-640828053.9309579,11.0,-1527831646.0951617,-1519145352.1645856,11.0,8.0,783497911.4172133,8080.0,2914412.8167179516,8080.0,8080.0,467179095.9798299,1075377260.7212994,-75750476.00285499,2.0,-2020825833.7019036,570474167.2059044,1967581418.5537417,-1461601442.8550272,4.0,1883990892.4644623,-1541251655.262258,570474167.2059044,2.0,-229850997.94480586,-438507314.1765925,1050.0,1680.0,-299018059.26034945,1093610734.877145,150.0,32.0
