CPU-Score	CPU-Cache L1	CPU-Socket	CPU-Cache L3	CPU-Cache L2	CPU-Samples	CPU-Process	CPU-Brand	CPU-Cores	CPU-Type	CPU-URL	CPU-Clock	CPU-Part Number	CPU-Codename	CPU-Multi	CPU-Price	CPU-TDP	CPU-Released	CPU-Name	GPU-L2 Cache	GPU-Shader Processing Units	GPU-Process	GPU-Samples	GPU-Website	GPU-Brand	GPU-Direct X	GPU-Release Price	GPU-TMUs	GPU-PSU	GPU-ROPs	GPU-Max Power	GPU-Texture Rate	GPU-Memory	GPU-GD RATING	GPU-BenchmarkURL	GPU-Core Speed	GPU-Name	GPU-Pixel Rate	GPU-Memory Bandwidth	GPU-Shader	GPU-Name2	GPU-Power Connector	GPU-Type	GPU-Architecture	GPU-Benchmark	GPU-Memory Speed	GPU-Open GL	GPU-Memory Bus	GPU-Memory Type	GAME-Rec-DX	GAME-Website	GAME-Theme	GAME-Min-DX	GAME-Rec-Ram	GAME-Min-CPU0	GAME-Release Date2	GAME-Min-CPU1	GAME-Release Date0	GAME-Release Date1	GAME-Min-GPU1	GAME-Min-GPU0	GAME-Name	GAME-Genre2	GAME-Rec-CPU1	GAME-Min-OS	GAME-Rec-CPU0	GAME-Rec-GPU1	GAME-Min-Ram	GAME-Rec-GPU0	GAME-Type	GAME-Rec-OS	GAME-Min-VRam	GAME-Rec-VRam	GAME-Genre1	GAME-Genre0	Res-Height	Res-Width	FPS_Id	Game-Setting	FPS	Ram	
75.6	96	AMD Socket AM4	8192	512	1381	14	AMD	4	CPU-Config	http://cpu.userbenchmark.com/AMD-Ryzen-3-1300X/Rating/3930	3400	YD130XBBAEBOX	Zen	34	990	65	Jun 2017	Ryzen 3 1300X	0	1152	16	62142	http://www.game-debate.com/hardware/index.php?gid=3693&graphics=GeForce%20GTX%201060%20Gigabyte%20Windforce%202X%20OC%203GB	Gigabyte	12.1	243.44	72	400 Watt  27 Amps	48	120	128	3072	0	http://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646	1556	GeForce GTX 1060 Gigabyte Windforce 2X OC 3GB	85	192.2	5	Gigabyte GTX 1060 3GB Windforce OC	1x 6-pin 	GPU-Config	Pascal P106-300-A1 	66.4	2002	4.5	192	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1080	1920	23270-0	Ultra	75	8	
33.4	128	AMD Socket AM3	0	512	1026	45	AMD	2	CPU-Config	http://cpu.userbenchmark.com/SpeedTest/91/AMD-Athlontm-II-X3-450-Processor	3200		Rana	16	545	95	Sep 2010	Athlon II X3 450	512	640	28	13886	http://www.game-debate.com/hardware/index.php?gid=1089&graphics=Radeon%20HD%207770%20Asus%20GHz%20Edition	AMD	12		40	500 Watt	16	150	41	2048	5	http://gpu.userbenchmark.com/SpeedTest/7710/AMD-Radeon-HD-7700	1020	Radeon HD 7770 Asus GHz Edition	16	73.6	5	HD 7770	None 	GPU-Config	GCN 1.0 Cape Verde XT 	17.3	1150	4.4	128	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1050	1680	23270-10	Low	30	4	
89.2	64	Intel Socket 1151	6144	256	89081	14	Intel	6	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i5-6600K/Rating/3503	3500	BX80662I56600K	Skylake	35	1745	95	Jul 2015	Core i5-6600K	2048	2560	16	69892	http://www.game-debate.com/hardware/index.php?gid=3573&graphics=GeForce%20GTX%201080%20Asus%20ROG%20Strix%20Gaming%20OC%208GB%20Edition	Asus	12.1	829	160	500 Watt  33 Amps	64	300	310	8192	0	http://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918	1784	GeForce GTX 1080 Asus ROG Strix Gaming OC 8GB Edition	124	320.3	5	Asus GTX 1080 Ti 11GB ROG Strix OC	1x 6-pin + 1x 8-pin 	GPU-Config	Pascal P104-400-A1 	156	1251	4.5	256	GDDR5X	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1200	1920	23270-12	Ultra	75	16	
56.5	384	AMD Socket AM3+	8192	8192	78150	32	AMD	4	CPU-Config	http://cpu.userbenchmark.com/AMD-FX-8350/Rating/1489	4000	FD8350FRHKBOX	Vishera	20	1098	125	Oct 2012	FX-8350	1024	6144	28	2076	http://www.game-debate.com/hardware/index.php?gid=1547&graphics=GeForce%20GTX%20690%20SLI	Nvidia	12		256	950 Watt  79 Amps	64	600	522	8192	0	http://gpu.userbenchmark.com/SpeedTest/8241/NVIDIA-GeForce-GTX-690	915	GeForce GTX 690 SLI	130	769	5	GeForce GTX 690 (SLI Disabled)	None 	GPU-Config	Kepler GK104-355-A2 (x2) 	46	1502	4.5	512	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1080	1920	23270-13	Ultra	60	16	
46.4	64	Intel Socket 1151	4096	256	5149	14	Intel	4	CPU-Config	http://cpu.userbenchmark.com/Intel-Pentium-G4400/Rating/3539	3300	BX80662G4400	Skylake	33	375	51	Sep 2015	Pentium G4400	512	320	28	3421	http://www.game-debate.com/hardware/index.php?gid=2562&graphics=Radeon%20R7%20240%20XFX%20Low%20Profile%202GB%20Edition	Nvidia	12		20	400 Watt  20 Amps	8	35	16	2048	3	http://gpu.userbenchmark.com/SpeedTest/7947/NVIDIA-GeForce-GT-240	730	Radeon R7 240 XFX Low Profile 2GB Edition	6	25.6	5	GeForce GT 240	None 	GPU-Config	GCN 1.1 Oland PRO 	4.65	800	4.4	128	DDR3	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1024	1280	23270-16	Low	40	8	
68.3	64	Intel Socket 1151	6144	256	26623	14	Intel	4	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i5-6400/Rating/3512	2700	BX80662I56400	Skylake	27	2699	65	Jul 2015	Core i5-6400	2048	1280	16	62142	http://www.game-debate.com/hardware/index.php?gid=3540&graphics=GeForce%20GTX%201060	Nvidia	12.1	249	80	400 Watt  27 Amps	48	120	137	6144	0	http://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646	1506	GeForce GTX 1060	82	192.2	5	GTX 1060-3GB	1x 6-pin 	GPU-Config	Pascal P106-400-A1 	66.4	2002	4.5	192	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	900	1600	23270-19	Ultra	80	16	
83.5	96	AMD Socket AM4	16384	512	22589	14	AMD	8	CPU-Config	http://cpu.userbenchmark.com/AMD-Ryzen-7-1700/Rating/3917	3400	YD1700BBAEBOX	Zen	34	2280	95	Jun 2017	Ryzen 7 1700	2048	1280	16	175090	http://www.game-debate.com/hardware/index.php?gid=3611&graphics=GeForce%20GTX%201060%20Zotac%20Mini%206GB	PNY	12.1	318	80	400 Watt  27 Amps	48	120	137	6144	0	http://gpu.userbenchmark.com/Nvidia-GTX-1060-6GB/Rating/3639	1506	GeForce GTX 1060 Zotac Mini 6GB	82	192.2	5	PNY GTX 1060 6GB	1x 6-pin 	GPU-Config	Pascal P106-400-A1 	72	2002	4.5	192	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1080	2560	23270-2	High	60	16	
42.9	288	AMD Socket AM3+	8192	6144	10491	32	AMD	4	CPU-Config	http://cpu.userbenchmark.com/AMD-FX-6100/Rating/1984	3300	FD6100WMGUSBX	Zambezi	16.5	4000	95	Oct 2011	FX-6100	1024	768	16	81473	http://www.game-debate.com/hardware/index.php?gid=3783&graphics=GeForce%20GTX%201050%20Ti%20Asus%20Expedition%204GB	Asus	12.1		48	300 Watt  27 Amps	32	75	67	4096	9	http://gpu.userbenchmark.com/Nvidia-GTX-1050-Ti/Rating/3649	1290	GeForce GTX 1050 Ti Asus Expedition 4GB	45	112.1	5	Asus GTX 1050 Ti 4GB Expedition	None 	GPU-Config	Pascal P107 	39.1	1752	4.5	128	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1024	1280	23270-21	High	80	8	
47.3	128	AMD Socket AM3	6144	512	7911	45	AMD	2	CPU-Config	http://cpu.userbenchmark.com/SpeedTest/417/AMD-Phenomtm-II-X6-1090T-Processor	3200		Thuban	16	1325	125	Apr 2010	Phenom II X6 1090T	640	480	40	9009	http://www.game-debate.com/hardware/index.php?gid=462&graphics=GeForce%20GTX%20570	Nvidia	12	349	60	550 Watt  35 Amps	40	219	44	1280	7	http://gpu.userbenchmark.com/Nvidia-GTX-570/Rating/3156	732	GeForce GTX 570	29	152	5	GTX 570	None 	GPU-Config	Fermi GF110-275-A1 	26.1	950	4.5	320	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	768	1366	23270-22	Low	35	8	
91.7	64	Intel Socket 1151	8192	256	154149	14	Intel	4	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i7-6700K/Rating/3502	4000	BX80662I76700K	Skylake	40	2430	95	Aug 2015	Core i7-6700K	2048	1920	16	199237	http://www.game-debate.com/hardware/index.php?gid=3586&graphics=GeForce%20GTX%201070%20MSI%20Gaming%20X%208GB%20Edition	Nvidia	12.1	450	120	500 Watt  33 Amps	64	150	216	8192	0	http://gpu.userbenchmark.com/Nvidia-GTX-1070/Rating/3609	1607	GeForce GTX 1070 MSI Gaming X 8GB Edition	115	259.5	5	PNY GTX 1070 8GB Founders Edition	1x 6-pin + 1x 8-pin 	GPU-Config	Pascal P104-200-A1 	98.4	2027	4.5	256	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1050	1680	23270-23	Ultra	150	32	
44.9	64	Intel Socket 1155	3072	256	11537	32	Intel	2	CPU-Config	http://cpu.userbenchmark.com/SpeedTest/2227/IntelR-CoreTM-i3-2120-CPU---330GHz	2600		Sandy Bridge	26	999	35	Sep 2011	Core i3-2120	128	160	40	1942	http://www.game-debate.com/hardware/index.php?gid=2736&graphics=Radeon%20HD%207450	AMD	11		8	300 Watt  22 Amps	4	18	5	512	2	http://gpu.userbenchmark.com/SpeedTest/8053/AMD-RadeonTM-HD-7450	625	Radeon HD 7450	3	8.5	5	Radeon HD 7450	None 	GPU-Config	Terascale 2 Caicos PRO 	2	533	4.3	64	GDDR3	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	720	1024	23270-24	Low	60	12	
72.9	64	Intel Socket 1155	6144	256	39564	32	Intel	4	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i5-2500K/Rating/619	3300	BX80623I52500K	Sandy Bridge	33	1660	95	Jan 2011	Core i5-2500K	1024	5632	28	1177	http://www.game-debate.com/hardware/index.php?gid=2101&graphics=Radeon%20R9%20295X2	AMD	12	1499	176	850 Watt  56 Amps	64	500	358	8192	0	http://gpu.userbenchmark.com/SpeedTest/11791/AMD-Radeon-R9-200	1018	Radeon R9 295X2	130	640	5	R9 295X2 (CrossFire Disabled)	2x 8-pin 	GPU-Config	GCN 1.1 Versuvius XT 	66.2	1250	4.4	512	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1080	1920	23270-26	Ultra	60	16	
73.9	64	Intel Socket 1155	8192	256	32915	22	Intel	4	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i7-3770K/Rating/1317	3500	BX80637I73770K	Ivy Bridge	35	2898	77	Apr 2012	Core i7-3770K	2048	2048	28	67467	http://www.game-debate.com/hardware/index.php?gid=2463&graphics=GeForce%20GTX%20980%20MSI%20Gaming%204GB%20Edition	MSI	12.1	579.99	128	500 Watt  42 Amps	64	165	169	4096	0	http://gpu.userbenchmark.com/Nvidia-GTX-980-Ti/Rating/3439	1216	GeForce GTX 980 MSI Gaming 4GB Edition	84	224.4	5	MSI GTX 980 Ti 6GB Gaming	2x 8-pin 	GPU-Config	Maxwell GM204-400-A1 	98.8	1753	4.5	256	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1080	1920	23270-27	High	60	16	
