Type	Part Number	Brand	Model	Rank	Score	Samples	URL	Name	Codename	Cores	Socket	Process	Clock	Multi	Cache L1/L2/L3	TDP	Released	Price	
CPU	BX80673I97980X	Intel	Core i9-7980XE	1	123	36	http://cpu.userbenchmark.com/SpeedTest/352013/IntelR-CoreTM-i9-7980XE-CPU---260GHz	Core i9-7980XE	Skylake-X	18  / 36	Intel Socket 2066	14 nm	2600&nbsp;MHz	26.0x	64K / 1024K / 25344K	165W	Sep 2017	15350	
CPU	BX80673I97940X	Intel	Core i9-7940X	2	119	16	http://cpu.userbenchmark.com/SpeedTest/353078/IntelR-CoreTM-i9-7940X-CPU---310GHz	Core i9-7940X	Skylake-X	14  / 28	Intel Socket 2066	14 nm	3100&nbsp;MHz	31.0x	64K / 1024K / 19712K	165W	Sep 2017		
CPU	BX80673I97900X	Intel	Core i9-7900X	3	114	1040	http://cpu.userbenchmark.com/Intel-Core-i9-7900X/Rating/3936	Core i9-7900X	Skylake-X	10  / 20	Intel Socket 2066	14 nm	3300&nbsp;MHz	33.0x	64K / 1024K / 14336K	140W	Jun 2017	7315	
CPU	BX80673I97920X	Intel	Core i9-7920X	4	114	80	http://cpu.userbenchmark.com/SpeedTest/278103/IntelR-CoreTM-i9-7920X-CPU---350GHz	Core i9-7920X	Skylake-X	12  / 24	Intel Socket 2066	14 nm	2900&nbsp;MHz	29.0x	64K / 1024K / 16896K	140W	Sep 2017	8650	
CPU	BX80684I78700K	Intel	Core i7-8700K	5	113	1532	http://cpu.userbenchmark.com/Intel-Core-i7-8700K/Rating/3937	Core i7-8700K	Coffee Lake	6  / 12	Intel Socket 1151	14 nm	3700&nbsp;MHz	37.0x	64K / 256K / 12288K	95W	Oct 2017	3470	
CPU	BX80673I77820X	Intel	Core i7-7820X	6	108	1877	http://cpu.userbenchmark.com/Intel-Core-i7-7820X/Rating/3928	Core i7-7820X	Skylake-X	8  / 16	Intel Socket 2066	14 nm	3600&nbsp;MHz	36.0x	64K / 1024K / 11264K	140W	Jun 2017	4399	
CPU	YD195XA8AEWOF	AMD	Ryzen TR 1950X	7	107	900	http://cpu.userbenchmark.com/AMD-Ryzen-TR-1950X/Rating/3932	Ryzen Threadripper 1950X	Zen	16 / 32	AMD Socket SP3r2	14 nm	3400nbsp;MHz	34.0x	96K / 512K / 32768K	180W	Aug 2017	7580	
CPU	BX80673I97960X	Intel	Core i9-7960X	8	106	8	http://cpu.userbenchmark.com/SpeedTest/357952/IntelR-CoreTM-i9-7960X-CPU---280GHz	Core i9-7960X	Skylake-X	16  / 32	Intel Socket 2066	14 nm	2800&nbsp;MHz	28.0x	64K / 1024K / 22528K	165W	Sep 2017		
CPU	BX80684I58600K	Intel	Core i5-8600K	9	106	297	http://cpu.userbenchmark.com/Intel-Core-i5-8600K/Rating/3941	Core i5-8600K	Coffee Lake	6 	Intel Socket 1151	14 nm	3600&nbsp;MHz	36.0x	64K / 256K / 9216K	95W	Oct 2017		
CPU	BX80684I78700	Intel	Core i7-8700	10	106	174	http://cpu.userbenchmark.com/Intel-Core-i7-8700/Rating/3940	Core i7-8700	Coffee Lake	6  / 12	Intel Socket 1151	14 nm	3200&nbsp;MHz	32.0x	64K / 256K / 12288K	65W	Jan 2018	3470	
CPU	BX80671I76950X	Intel	Core i7-6950X	11	101	1468	http://cpu.userbenchmark.com/Intel-Core-i7-6950X/Rating/3604	Core i7-6950X	Broadwell-E	10  / 20	Intel Socket 2011-3	14 nm	3000&nbsp;MHz	30.0x	32K / 256K / 25600K	140W	May 2016	12410	
CPU	BX80673I77800X	Intel	Core i7-7800X	12	101	1188	http://cpu.userbenchmark.com/SpeedTest/304816/IntelR-CoreTM-i7-7800X-CPU---350GHz	Core i7-7800X	Skylake-X	6  / 12	Intel Socket 2066	14 nm	3500&nbsp;MHz	35.0x	64K / 1024K / 8448K	140W	Jun 2017	2809	
CPU	BX80677I77740X	Intel	Core i7-7740X	13	100	400	http://cpu.userbenchmark.com/SpeedTest/304932/IntelR-CoreTM-i7-7740X-CPU---430GHz	Core i7-7740X	Kaby Lake-X	4  / 8	Intel Socket 2066	14 nm	4300&nbsp;MHz	43.0x	64K / 256K / 8192K	112W	Jun 2017	2580	
CPU	BX80677I77700K	Intel	Core i7-7700K	14	99.7	90437	http://cpu.userbenchmark.com/Intel-Core-i7-7700K/Rating/3647	Core i7-7700K	Kaby Lake	4  / 8	Intel Socket 1151	14 nm	4200&nbsp;MHz	42.0x	64K / 256K / 8192K	91W	Jan 2017	2420	
CPU	BX80671I76900K	Intel	Core i7-6900K	15	99.3	1805	http://cpu.userbenchmark.com/Intel-Core-i7-6900K/Rating/3605	Core i7-6900K	Broadwell-E	8  / 16	Intel Socket 2011-3	14 nm	3200&nbsp;MHz	32.0x	32K / 256K / 20480K	140W	May 2016	7790	
CPU	BX80684I38350K	Intel	Core i3-8350K	16	98	254	http://cpu.userbenchmark.com/Intel-Core-i3-8350K/Rating/3935	Core i3-8350K	Coffee Lake	4 	Intel Socket 1151	14 nm	4000&nbsp;MHz	40.0x	64K / 256K / 8196K	91W	Oct 2017	1435	
CPU	YD192XA8AEWOF	AMD	Ryzen TR 1920X	17	97.9	101	http://cpu.userbenchmark.com/AMD-Ryzen-TR-1920X/Rating/3934	Ryzen Threadripper 1920X	Zen	12 / 24	AMD Socket SP3r2	14 nm	3500&nbsp;MHz	35.0x	96K / 512K / 32768K	180W	Aug 2017		
CPU	BX80671I76850K	Intel	Core i7-6850K	18	97.1	6302	http://cpu.userbenchmark.com/Intel-Core-i7-6850K/Rating/3606	Core i7-6850K	Broadwell-E	6  / 12	Intel Socket 2011-3	14 nm	3600&nbsp;MHz	36.0x	32K / 256K / 15360K	140W	May 2016	3930	
CPU	BX80677I57640X	Intel	Core i5-7640X	19	96.7	66	http://cpu.userbenchmark.com/SpeedTest/310543/IntelR-CoreTM-i5-7640X-CPU---400GHz	Core i5-7640X	Kaby Lake-X	4 	Intel Socket 2066	14 nm	3900&nbsp;MHz	39.0x	64K / 256K / 6144K	112W	Jun 2017	1839	
CPU	BX80677I57600K	Intel	Core i5-7600K	20	96.1	27370	http://cpu.userbenchmark.com/Intel-Core-i5-7600K/Rating/3885	Core i5-7600K	Kaby Lake	4 	Intel Socket 1151	14 nm	3800&nbsp;MHz	38.0x	64K / 256K / 6144K	91W	Jan 2017	1745	
CPU	YD190XA8AEWOF	AMD	Ryzen TR 1900X	21	94.1	71	http://cpu.userbenchmark.com/SpeedTest/340638/AMD-Ryzen-Threadripper-1900X-8-Core-Processor	Ryzen Threadripper 1900X	Zen	8 / 16	AMD Socket SP3r2	14 nm	3800&nbsp;MHz	38.0x	96K / 512K / 32768K	125W	Aug 2017		
CPU	BX80684I58400	Intel	Core i5-8400	22	93.1	399	http://cpu.userbenchmark.com/Intel-Core-i5-8400/Rating/3939	Core i5-8400	Coffee Lake	6 	Intel Socket 1151	14 nm	2800&nbsp;MHz	28.0x	64K / 256K / 9216K	65W	Oct 2017		
CPU	BX80662I76700K	Intel	Core i7-6700K	23	91.7	154149	http://cpu.userbenchmark.com/Intel-Core-i7-6700K/Rating/3502	Core i7-6700K	Skylake	4  / 8	Intel Socket 1151	14 nm	4000&nbsp;MHz	40.0x	64K / 256K / 8192K	95W	Aug 2015	2430	
CPU	YD180XBCAEWOF	AMD	Ryzen 7 1800X	24	91.4	7401	http://cpu.userbenchmark.com/AMD-Ryzen-7-1800X/Rating/3916	Ryzen 7 1800X	Zen	8  / 16	AMD Socket AM4	14 nm	3600&nbsp;MHz	36.0x	96K / 512K / 16384K	95W	Mar 2017	3499	
CPU	BX80648I75960X	Intel	Core i7-5960X	25	90.5	5032	http://cpu.userbenchmark.com/Intel-Core-i7-5960X/Rating/2580	Core i7-5960X	Haswell-E	8  / 16	Intel Socket 2011-3	22 nm	3000&nbsp;MHz	30.0x	64K / 256K / 20480K	140W	Sep 2014	7930	
CPU	BX80671I76800K	Intel	Core i7-6800K	26	89.6	11532	http://cpu.userbenchmark.com/Intel-Core-i7-6800K/Rating/3607	Core i7-6800K	Broadwell-E	6  / 12	Intel Socket 2011-3	14 nm	3400&nbsp;MHz	34.0x	32K / 256K / 15360K	140W	May 2016	2850	
CPU	BX80648I75930K	Intel	Core i7-5930K	27	89.4	8780	http://cpu.userbenchmark.com/Intel-Core-i7-5930K/Rating/2578	Core i7-5930K	Haswell-E	6  / 12	Intel Socket 2011-3	22 nm	3500&nbsp;MHz	35.0x	64K / 256K / 15360K	140W	Sep 2014	4468	
CPU	BX80662I56600K	Intel	Core i5-6600K	28	89.2	89081	http://cpu.userbenchmark.com/Intel-Core-i5-6600K/Rating/3503	Core i5-6600K	Skylake	4 	Intel Socket 1151	14 nm	3500&nbsp;MHz	35.0x	64K / 256K / 6144K	95W	Jul 2015	1745	
CPU	YD170XBCAEWOF	AMD	Ryzen 7 1700X	29	88.2	12619	http://cpu.userbenchmark.com/AMD-Ryzen-7-1700X/Rating/3915	Ryzen 7 PRO 1700X	Zen	8  / 16	AMD Socket AM4	14 nm	3400&nbsp;MHz	34.0x	96K / 512K / 16384K	95W	Jun 2017	2750	
CPU	BX80646I74790K	Intel	Core i7-4790K	30	88	105652	http://cpu.userbenchmark.com/Intel-Core-i7-4790K/Rating/2384	Core i7-4790K	Haswell	4  / 8	Intel Socket 1150	22 nm	4000&nbsp;MHz	40.0x	64K / 256K / 8192K	88W	May 2014	2799	
CPU	BX80677I77700	Intel	Core i7-7700	31	87.3	18100	http://cpu.userbenchmark.com/Intel-Core-i7-7700/Rating/3887	Core i7-7700K	Kaby Lake	4  / 8	Intel Socket 1151	14 nm	4200&nbsp;MHz	42.0x	64K / 256K / 8192K	91W	Jan 2017	2420	
CPU	BX80648I75820K	Intel	Core i7-5820K	32	86.8	28312	http://cpu.userbenchmark.com/Intel-Core-i7-5820K/Rating/2579	Core i7-5820K	Haswell-E	6  / 12	Intel Socket 2011-3	22 nm	3300&nbsp;MHz	33.0x	64K / 256K / 15360K	140W	Sep 2014	2920	
