GeForce GT 1030	GT 1030
GeForce GTX 1050 Colorful iGame U-2G 2GB	PNY GTX 1050 2GB
GeForce GTX 1050 EVGA FTW Gaming ACX 3.0 2GB	EVGA GTX 1050 Ti 4GB FTW GAMING ACX 3.0
GeForce GTX 1050 EVGA Gaming 2GB	PNY GTX 1050 2GB
GeForce GTX 1050 EVGA SC Gaming 2GB	EVGA GTX 1050 2GB SC GAMING
GeForce GTX 1050 EVGA SSC Gaming ACX 3.0 2GB	EVGA GTX 1050 Ti 4GB SSC GAMING ACX 3.0
GeForce GTX 1050 FTW DT Gaming ACX 3.0 2GB	EVGA GTX 1050 Ti 4GB FTW GAMING ACX 3.0
GeForce GTX 1050 Gainward 2GB	PNY GTX 1050 2GB
GeForce GTX 1050 Galax EXOC 2GB	PNY GTX 1050 2GB
GeForce GTX 1050 Galax OC 2GB	PNY GTX 1050 2GB
GeForce GTX 1050 Gigabyte D5 2GB	PNY GTX 1050 2GB
GeForce GTX 1050 Gigabyte G1 Gaming 2GB	EVGA GTX 1050 Ti 4GB Gaming Single Fan
GeForce GTX 1050 Gigabyte OC 2GB	MSI GTX 1050 2GB OC
GeForce GTX 1050 Gigabyte Windforce OC 2GB	Gigabyte GTX 1050 2GB Windforce
GeForce GTX 1050 Inno3D 2GB	PNY GTX 1050 2GB
GeForce GTX 1050 Inno3D Twin X2 2GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 KFA2 OC 2GB	PNY GTX 1050 2GB
GeForce GTX 1050 MSI 2GB	PNY GTX 1050 2GB
GeForce GTX 1050 MSI Gaming 2GB	PNY GTX 1050 2GB
GeForce GTX 1050 MSI Gaming X 2GB	PNY GTX 1050 2GB
GeForce GTX 1050 MSI OC 2GB	PNY GTX 1050 2GB
GeForce GTX 1050 MSI OC T 2GB	PNY GTX 1050 2GB
GeForce GTX 1050 Palit StormX 2GB	PNY GTX 1050 2GB
GeForce GTX 1050 PNY 2GB	PNY GTX 1050 2GB
GeForce GTX 1050 Ti 4GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 Ti Asus Dual 4GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 Ti Asus Expedition 4GB	Asus GTX 1050 Ti 4GB Expedition
GeForce GTX 1050 Ti Asus Pheonix 4GB	Asus GTX 1050 2GB Phoenix
GeForce GTX 1050 Ti Asus ROG Strix Gaming OC 4GB	EVGA GTX 1050 Ti 4GB Gaming Single Fan
GeForce GTX 1050 Ti Colorful iGame S-4G 4GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 Ti Colorful iGame U-4G 4GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 Ti EVGA FTW DT GAMING ACX 3.0 4GB	EVGA GTX 1050 Ti 4GB FTW GAMING ACX 3.0
GeForce GTX 1050 Ti EVGA FTW Gaming ACX 3.0 4GB	EVGA GTX 1050 Ti 4GB FTW GAMING ACX 3.0
GeForce GTX 1050 Ti EVGA Gaming 4GB	EVGA GTX 1050 Ti 4GB Gaming Single Fan
GeForce GTX 1050 Ti EVGA SC Gaming 4GB	EVGA GTX 1050 Ti 4GB SC Single Fan
GeForce GTX 1050 Ti EVGA SSC Gaming ACX 3.0 4GB	EVGA GTX 1050 Ti 4GB SSC GAMING ACX 3.0
GeForce GTX 1050 Ti Gainward 4GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 Ti Galax EXOC 4GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 Ti Galax OC 4GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 Ti Gigabyte D5 4GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 Ti Gigabyte G1 Gaming 4GB	EVGA GTX 1050 Ti 4GB Gaming Single Fan
GeForce GTX 1050 Ti Gigabyte OC 4GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 Ti Gigabyte Windforce OC 4GB	Gigabyte GTX 1050 2GB Windforce
GeForce GTX 1050 Ti Inno3D 4GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 Ti Inno3D Twin X2 4GB	Zotac GTX 1050 Ti 4GB Twin
GeForce GTX 1050 Ti KFA2 OC 4GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 Ti MSI 4GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 Ti MSI Gaming 4GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 Ti MSI Gaming X 4GB	EVGA GTX 1050 Ti 4GB Gaming Single Fan
GeForce GTX 1050 Ti MSI OC 4GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 Ti MSI OC T 4GB	MSI GTX 1050 Ti 4GB OC Twin
GeForce GTX 1050 Ti Palit StormX 4GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 Ti PNY 4GB	MSI GTX 1050 Ti 4GB OC
GeForce GTX 1050 Ti PNY XLR8 Gaming Overclocked Edition 4GB	EVGA GTX 1050 Ti 4GB Gaming Single Fan
GeForce GTX 1050 Ti Zotac Mini 4GB	Zotac GTX 1050 Ti 4GB Mini
GeForce GTX 1050 Ti Zotac OC Edition 4GB	Asus GTX 1050 Ti 4GB Expedition
GeForce GTX 1050 Zotac Mini 2GB	PNY GTX 1050 2GB
GeForce GTX 1050	GTX 1050
GeForce GTX 1060 3GB	GTX 1060-3GB
GeForce GTX 1060 5GB	PNY GTX 1060 6GB
GeForce GTX 1060 Asus Dual 3GB	Asus GTX 1060 3GB Dual OC
GeForce GTX 1060 Asus Dual 6GB	Asus GTX 1060 3GB Dual OC
GeForce GTX 1060 Asus Dual OC 3GB	Asus GTX 1060 3GB Dual OC
GeForce GTX 1060 Asus Dual OC 6GB	Asus GTX 1060 3GB Dual OC
GeForce GTX 1060 Asus ROG Strix Gaming OC 6GB Edition	EVGA GTX 1060 3GB SC Gaming
GeForce GTX 1060 Asus Turbo 6GB	PNY GTX 1060 6GB
GeForce GTX 1060 EVGA ACX 2.0 3GB	GTX 1060-3GB
GeForce GTX 1060 EVGA ACX 2.0 6GB	PNY GTX 1060 6GB
GeForce GTX 1060 EVGA FTW GAMING ACX 3.0	MSI GTX 1060 3GB ARMOR 3G OCV1
GeForce GTX 1060 EVGA FTW+ ACX 3.0 3GB	MSI GTX 1060 3GB 3GT OC
GeForce GTX 1060 EVGA GAMING	Zotac GTX 1060 6GB AMP
GeForce GTX 1060 EVGA SC ACX 2.0 3GB	EVGA GTX 1060 3GB SC Gaming
GeForce GTX 1060 EVGA SC GAMING 6GB	PNY GTX 1060 6GB
GeForce GTX 1060 EVGA SSC GAMING ACX 3.0 6GB	MSI GTX 1060 3GB ARMOR 3G OCV1
GeForce GTX 1060 Gainward Phoenix GS 6GB	 Gainward GTX 1060 6GB Pheonix GS
GeForce GTX 1060 Galax EX OC Black 3GB	Asus GTX 1060 3GB Dual OC
GeForce GTX 1060 Galax EX OC White 3GB	Asus GTX 1060 3GB Dual OC
GeForce GTX 1060 Galax Gamer OC 3GB	MSI GTX 1060 6G Armor OC
GeForce GTX 1060 Galax OC 3GB	Asus GTX 1060 3GB Dual OC
